"","Xi","Yi","credit.score","interest.rate","pti","veh.value","co.sign","new.used","subvent.rate","subvent.cash","veh.pick.up","veh.suv","exact.loan.term"
"1",39,33,0.726509852025526,-0.579267058327383,1.39351582665666,1.4191026156533,0,1,0,0,0,1,0
"2",39,33,-1.76964370246269,0.267482938284212,-0.945771201961887,1.31847917764166,0,1,0,1,1,0,0
"3",40,34,-1.15178391174779,-0.741324473946827,-0.945771201961887,0.326531621744482,0,1,0,0,1,0,1
"4",39,33,-0.10554133280388,-0.704861555432452,0.195093737302871,0.808723922966046,0,1,0,1,1,0,0
"5",34,33,-1.84378687734848,0.231020019769837,-0.945771201961887,0.653985715259834,0,1,0,1,1,0,0
"6",35,33,-1.24240334771931,-0.785890263242174,-0.945771201961887,0.364555748482984,0,1,0,0,1,0,0
"7",40,34,0.61117602442541,-0.137660600764398,1.36679286411533,0.652661598974004,1,1,0,1,1,0,1
"8",40,33,-1.20121269500498,-0.563061316765438,-0.945771201961887,0.848816510862379,0,1,0,1,1,0,1
"9",40,33,-1.24240334771931,-0.785890263242174,-0.945771201961887,0.783194311316612,0,1,0,0,1,0,1
"10",39,33,-1.19297456446211,-0.137660600764398,-0.945771201961887,0.457528252947825,0,1,0,1,0,1,1
"11",39,33,0.388746499768044,-1.75418332156835,0.230039149856927,0.00874013122362419,0,0,1,0,0,1,0
"12",40,33,0.487604066282429,0.16619705352206,0.85288973832039,0.755881386028399,1,0,0,0,0,0,1
"13",39,33,0.339317716510852,-0.137660600764398,-0.668263514032622,0.710393083457003,1,1,0,1,1,0,0
"14",40,32,-1.49778539454813,-0.0768890699071064,-0.945771201961887,0.515272966315598,0,1,0,1,1,0,1
"15",39,32,-1.58016669997679,-1.75418332156835,-0.945771201961887,0.632927057350555,0,1,1,0,0,1,0
"16",32,31,-1.65430987486258,-0.542804139813008,-0.945771201961887,1.21636668372455,0,1,0,1,1,0,0
"17",39,32,-1.24240334771931,-0.785890263242174,-0.945771201961887,0.83124150823916,0,1,0,1,1,0,0
"18",40,32,-1.63783361377684,-1.75418332156835,-0.945771201961887,0.43848931802665,0,1,1,0,1,0,1
"19",39,32,0.677081068768333,-1.75418332156835,0.314319262487296,0.175499178278539,1,1,1,0,0,1,0
"20",40,32,1.00660629048295,-1.3895541364246,0.762442788180481,1.05123462420646,1,1,1,0,0,1,1
"21",36,31,-1.20945082554784,-0.785890263242174,-0.945771201961887,1.01681727014224,0,0,0,0,0,1,0
"22",39,31,-1.63783361377684,-0.0971462468595369,-0.945771201961887,0.481173031286621,0,1,0,1,1,0,0
"23",39,32,0.438175283025237,-0.299718016383842,2.95578132907327,0.902458188267133,1,1,0,0,1,0,1
"24",39,32,-0.089065071718149,-1.75418332156835,0.106702399666142,0.582902297102033,1,1,1,0,1,0,0
"25",38,32,-0.682210470804458,-0.178174954669259,-0.945771201961887,1.24659874014302,0,1,0,1,1,0,0
"26",38,32,-0.682210470804458,-0.178174954669259,-0.945771201961887,1.1607780491379,0,1,0,1,1,0,0
"27",39,31,0.70179546039693,-1.3895541364246,0.998838226046152,-0.337594008367358,0,0,1,0,0,0,0
"28",32,31,-0.0313981579180912,0.267482938284212,2.50560219087691,-0.607255726710368,0,0,0,0,1,0,0
"29",39,31,-1.42364221966234,0.247225761331782,-0.945771201961887,-0.457289107768863,0,1,0,0,1,0,0
"30",40,32,-1.12706952011919,-1.75418332156835,-0.945771201961887,0.172011812589956,0,1,1,0,0,0,1
"31",38,31,1.23727394568318,-1.3895541364246,4.59616010661071,0.901528352195024,0,1,1,0,0,1,1
"32",39,30,-1.73669118029123,0.453848966246573,-0.945771201961887,0.767602670825134,0,1,0,1,1,0,0
"33",35,31,0.125126322396351,0.510569061713378,0.637050425486516,-0.618147021682205,1,1,0,1,0,0,1
"34",33,31,-0.855211212204631,0.226968584379351,-0.945771201961887,1.25031627476737,0,1,0,1,1,0,1
"35",32,31,-0.0725888106324182,0.615906381866017,-0.43803491367649,-0.062636125332864,0,0,0,0,1,0,1
"36",40,31,-1.30007026151936,-0.579267058327383,-0.945771201961887,0.766515350515859,0,1,0,1,1,0,1
"37",39,30,-1.76140557191983,-0.0971462468595369,-0.945771201961887,-0.0948371979549545,0,1,0,1,1,0,0
"38",40,31,1.21255955405458,-0.137660600764398,0.147814649729737,0.682750806519776,1,1,0,1,1,0,1
"39",39,30,-1.30007026151936,0.226968584379351,-0.945771201961887,-0.572650918581526,0,0,0,0,0,0,0
"40",31,30,0.965415637768622,-0.684604378480021,0.789165750721818,-0.509838995494173,1,0,0,0,1,0,0
"41",35,30,1.07251133482587,-0.684604378480021,0.700774413085089,0.713231349899055,1,1,0,0,1,0,0
"42",39,30,1.04779694319728,-0.785890263242174,0.195093737302871,1.01690638291338,1,1,0,1,0,1,0
"43",33,31,0.602937893882545,-0.785890263242174,2.62071649105497,0.212168999321956,0,0,0,0,0,1,0
"44",39,37,-1.82731061626275,0.267482938284212,-0.945771201961887,1.06124651351084,0,1,0,1,1,0,0
"45",39,33,0.075697539139159,-0.984410597375993,-0.76487730168207,-0.173206546056238,1,0,1,0,0,1,0
"46",40,33,-1.48954726400527,-0.0971462468595369,-0.945771201961887,1.01892485661481,0,1,0,1,1,0,1
"47",40,33,-1.38245156694802,-0.0768890699071064,-0.945771201961887,0.6364127503947,0,1,0,1,1,0,1
"48",37,33,-1.39892782803375,-0.299718016383842,-0.945771201961887,0.820346521455015,0,1,0,1,1,0,0
"49",40,33,-1.61311922214825,0.307997292189073,-0.945771201961887,0.296133670496951,0,1,0,1,1,0,0
"50",39,31,0.981891898854353,-1.3895541364246,1.49218522680929,0.888385177479344,0,1,1,0,0,1,0
"51",39,31,0.899510593425699,-0.785890263242174,-0.220139988339437,0.887122805810759,0,1,0,1,1,0,0
"52",39,31,-1.51426165563386,-0.137660600764398,-0.945771201961887,0.535334927503315,0,1,0,1,0,1,0
"53",40,32,0.00979249479623583,-1.75418332156835,-0.00635628800874385,-0.856562347889383,0,0,1,0,0,0,1
"54",38,31,-0.253827682575457,0.413334612341712,-0.468869101224187,0.749258863610733,1,1,0,1,1,0,0
"55",37,31,-1.06940260631913,-0.542804139813008,-0.945771201961887,0.469974236435746,0,1,0,1,1,0,0
"56",36,31,0.998368159940084,-1.3895541364246,0.756275950670942,1.0385813305163,1,1,1,0,0,1,0
"57",38,31,0.677081068768333,0.0243968148550462,1.47779593928703,0.820786548019903,1,1,0,1,1,0,0
"58",39,31,-0.253827682575457,-0.299718016383842,-0.532593088822759,-0.276674205911892,1,0,0,0,1,0,0
"59",37,31,1.0889875959116,-1.3895541364246,1.48601838929975,0.857626620922108,0,1,1,0,0,1,0
"60",38,31,0.223983888910736,-1.75418332156835,0.225927924850567,0.566358264374663,1,1,1,0,0,0,0
"61",39,31,0.50408032736816,-0.502289785908147,-0.0947476256454729,0.229822825982953,1,0,0,0,1,0,0
"62",39,31,-1.11059325903346,0.0243968148550462,-0.945771201961887,0.757329491094243,0,1,0,0,1,0,0
"63",38,30,1.06427320428301,-0.785890263242174,0.803555038244076,1.28413772379677,0,1,0,0,0,0,0
"64",39,30,0.924224985054295,-0.421261078098425,3.06267317923862,-0.132776998350426,0,0,0,0,1,0,0
"65",40,30,-1.38245156694802,0.307997292189073,-0.945771201961887,0.568481287313978,0,1,0,1,1,0,0
"66",39,30,-1.21768895609071,-0.137660600764398,-0.945771201961887,0.467236385109314,0,1,0,0,0,0,0
"67",40,30,1.08074946536874,-0.482032608955717,0.281429462436421,-1.12751028331676,1,0,0,0,0,0,1
"68",40,37,1.02308255156868,-1.75418332156835,4.31865241868144,1.16922975036796,0,0,1,0,0,0,1
"69",39,36,-1.09411699794773,-0.583318493717869,-0.945771201961887,1.25873577624203,0,1,0,1,1,0,0
"70",40,36,1.14665450971166,-0.988462032766479,2.31237461557801,1.03318447983046,0,1,0,1,0,0,1
"71",39,35,-1.61311922214825,-0.579267058327383,-0.945771201961887,0.434030952649372,0,1,0,0,1,0,0
"72",40,35,0.528794718996756,-0.137660600764398,-0.818323226764743,1.49117338885718,0,1,0,0,0,1,1
"73",40,35,-1.91793005223427,-0.340232370288703,-0.945771201961887,0.151127349356089,0,1,0,1,1,0,1
"74",39,34,-1.85202500789134,-0.380746724193564,-0.945771201961887,0.308890135234091,0,1,0,0,1,0,0
"75",38,34,-1.36597530586229,-0.826404617147035,-0.945771201961887,1.13847997812582,0,1,0,1,1,0,0
"76",39,34,0.751224243654122,-0.19843213162169,0.655550938015134,0.875223983747911,1,1,0,1,0,1,0
"77",38,34,0.298127063796525,-1.75418332156835,-0.261252238403032,1.06864016340712,0,0,1,0,0,1,0
"78",40,35,-1.53897604726246,0.255328632112754,-0.945771201961887,0.923149818677569,0,1,0,1,1,0,1
"79",40,25,0.957177507225757,-1.75418332156835,3.57452069253037,1.04095098907367,1,1,1,0,0,0,1
"80",34,25,-1.47307100291954,-0.299718016383842,-0.945771201961887,0.0101916812762028,0,1,0,0,0,0,1
"81",38,25,0.841843679625641,-0.785890263242174,-0.162582838250404,0.508247952803683,0,0,0,0,0,0,1
"82",34,25,1.03132068211155,-1.75418332156835,0.517824900302091,1.81442890873346,1,1,1,0,0,1,0
"83",40,25,1.08074946536874,-1.75418332156835,2.37609860317658,0.84605688752682,1,1,1,0,0,1,1
"84",35,25,-1.32478465314796,-0.299718016383842,-0.945771201961887,0.521811165488557,0,1,0,0,1,0,0
"85",39,25,-0.0643506800895528,-1.75418332156835,2.41721085324018,0.855081632086715,1,1,1,0,0,1,1
"86",30,24,0.660604807682603,-0.137660600764398,-0.472980326230546,0.200658504213243,1,1,0,1,1,0,0
"87",33,24,0.693557329854064,0.267482938284212,-0.113248138174091,0.307938336847026,1,1,0,0,1,0,1
"88",38,28,-1.52249978617673,1.06156427481949,-0.945771201961887,0.327988527317516,0,1,0,1,1,0,0
"89",40,29,-0.888163734376093,-0.785890263242174,-0.945771201961887,-0.534649681998843,0,0,0,0,0,0,1
"90",39,28,1.12194011808307,-0.785890263242174,0.2834850749396,0.673671422798278,0,1,0,1,0,0,0
"91",40,28,-1.25887960880504,-0.542804139813008,-0.945771201961887,0.0855156198935658,0,1,0,1,0,0,1
"92",32,28,-1.7202149192055,-0.664347201527591,-0.945771201961887,0.949816372741201,0,1,0,1,1,0,0
"93",40,28,-0.0313981579180912,-1.75418332156835,1.59907707697464,-0.613833767680287,0,0,1,0,0,0,1
"94",39,28,-1.62135735269111,0.510569061713378,-0.945771201961887,0.0468819536472564,0,1,0,1,1,0,1
"95",39,28,1.05603507374014,-1.75418332156835,0.0655901496025473,1.77333439379304,0,1,1,0,0,1,1
"96",39,28,-1.12706952011919,0.0243968148550462,-0.945771201961887,0.383326268383419,0,1,0,0,0,1,0
"97",31,28,0.39698463031091,-0.174123519278773,0.0532564745834688,0.606035534383977,0,0,0,0,1,0,0
"98",40,28,-1.25064147826217,-0.583318493717869,-0.945771201961887,1.23749533588374,0,1,0,1,1,0,1
"99",32,24,-0.987021300890478,-0.0525804575641897,-0.945771201961887,0.664874779846719,0,1,0,0,1,0,1
