"","Xi","Yi","credit.score","interest.rate","pti","veh.value","co.sign","new.used","subvent.rate","subvent.cash","veh.pick.up","veh.suv"
"1",39,33,0.700343666421451,-0.622641836737852,1.35415722269226,1.46852184937999,0,1,0,0,0,1
"2",39,33,-1.83559636826503,0.202623979636617,-0.979053612491952,1.36988266178362,0,1,0,1,1,0
"3",39,33,-0.144969678474041,-0.745049685099616,0.158847981117221,0.870179558930287,0,1,0,1,1,0
"4",34,33,-1.91092131979037,0.167086217209008,-0.979053612491952,0.718492721351805,0,1,0,1,1,0
"5",35,33,-1.29995226852927,-0.824022490494302,-0.979053612491952,0.434770187585745,0,1,0,0,1,0
"6",39,33,0.357196665028231,-1.7677475149608,0.193702624525069,0.0859710994795895,0,0,1,0,0,1
"7",39,33,0.306980030678004,-0.192240047336813,-0.702266738370802,0.773787760791571,1,1,0,1,1,0
"8",39,32,-1.64309926992249,-1.7677475149608,-0.979053612491952,0.697849331013652,0,1,1,0,0,1
"9",32,31,-1.71842422144783,-0.587104074310244,-0.979053612491952,1.26978378181632,0,1,0,1,1,0
"10",39,32,-1.29995226852927,-0.824022490494302,-0.979053612491952,0.892253107219455,0,1,0,1,1,0
"11",39,32,0.650127032071224,-1.7677475149608,0.277763823332233,0.249441730685212,1,1,1,0,0,1
"12",36,31,-1.26647451229578,-0.824022490494302,-0.979053612491952,1.07416939584379,0,0,0,0,0,1
"13",39,31,-1.70168534333109,-0.15275364463947,-0.979053612491952,0.549087828313912,0,1,0,1,1,0
"14",39,32,-0.128230800357299,-1.7677475149608,0.0706862360267804,0.648811037270927,1,1,1,0,1,0
"15",38,32,-0.730830412560026,-0.231726450034157,-0.979053612491952,1.29941967523651,0,1,0,1,1,0
"16",38,32,-0.730830412560026,-0.231726450034157,-0.979053612491952,1.21529133091651,0,1,0,1,1,0
"17",39,31,0.675235349246337,-1.41236989068471,0.960504779497737,-0.253533481572317,0,0,1,0,0,0
"18",32,31,-0.0696447269487004,0.202623979636617,2.4633549923185,-0.517877588162278,0,0,0,0,1,0
"19",39,31,-1.48407992781343,0.182880778287945,-0.979053612491952,-0.370868245694232,0,1,0,0,1,0
"20",39,30,-1.80211861203154,0.384261432044395,-0.979053612491952,0.8298691999893,0,1,0,1,1,0
"21",39,30,-1.82722692920665,-0.15275364463947,-0.979053612491952,-0.0155637298351825,0,1,0,1,1,0
"22",39,30,-1.35853834193787,0.163137576939274,-0.979053612491952,-0.483955171792818,0,0,0,0,0,0
"23",31,30,0.943057399114216,-0.725306483750944,0.751376919050646,-0.422381872498613,1,0,0,0,1,0
"24",35,30,1.05186010687304,-0.725306483750944,0.663215173960205,0.776570057854345,1,1,0,0,1,0
"25",39,30,1.02675178969793,-0.824022490494302,0.158847981117221,1.07425675134986,1,1,0,1,0,1
"26",33,31,0.574802080545883,-0.824022490494302,2.57817028825024,0.285388438813081,0,0,0,0,0,1
"27",39,37,-1.89418244167362,0.202623979636617,-0.979053612491952,1.11772251386479,0,1,0,1,1,0
"28",39,33,0.0391579808101254,-1.01750586371128,-0.798629576027795,-0.0923876684912436,1,0,1,0,0,1
"29",37,33,-1.45897161063832,-0.350185658126185,-0.979053612491952,0.881572964834169,0,1,0,1,1,0
"30",40,33,-1.67657702615597,0.24211038233396,-0.979053612491952,0.367697363206425,0,1,0,1,1,0
"31",43,33,-0.287250142466352,0.107856613162994,0.513545234620621,-0.248165752940911,0,0,0,0,0,1
"32",39,31,0.959796277230959,-1.41236989068471,1.45257033349089,0.948269928166039,0,1,1,0,0,1
"33",39,31,0.876101886647246,-0.824022490494302,-0.255307193493685,0.947032449917488,0,1,0,1,1,0
"34",39,31,-1.57614375745552,-0.192240047336813,-0.979053612491952,0.602181675503628,0,1,0,1,0,1
"35",38,31,-0.295619581524723,0.344775029347052,-0.503390243631901,0.811887124671582,1,1,0,1,1,0
"36",37,31,-1.12419404830347,-0.587104074310244,-0.979053612491952,0.538109868824781,0,1,0,1,1,0
"37",36,31,0.976535155347701,-1.41236989068471,0.718572548784435,1.09550427841704,1,1,1,0,0,1
"38",38,31,0.650127032071224,-0.0342944365474413,1.43821842149943,0.882004314266658,1,1,0,1,1,0
"39",39,31,-0.295619581524723,-0.350185658126185,-0.566948711022684,-0.193814991114421,1,0,0,0,1,0
"40",37,31,1.06859898498978,-1.41236989068471,1.44641951406598,0.918117916960738,0,1,1,0,0,1
"41",38,31,0.189807883860807,-1.7677475149608,0.189602078241793,0.632593245670456,1,1,1,0,0,0
"42",39,31,0.474368811845428,-0.547617671612901,-0.130240531853758,0.302694139693691,1,0,0,0,1,0
"43",39,31,-1.16604124359533,-0.0342944365474413,-0.979053612491952,0.819798602892733,0,1,0,0,1,0
"44",38,30,1.04349066781467,-0.824022490494302,0.765728831042113,1.33621840646622,0,1,0,0,0,0
"45",39,30,0.90121020382236,-0.468644866218215,3.01897901370244,-0.052755373874865,0,0,0,0,1,0
"46",40,30,-1.44223273252158,0.24211038233396,-0.979053612491952,0.634674403521158,0,1,0,1,1,0
"47",39,30,-1.27484395135415,-0.192240047336813,-0.979053612491952,0.535426006735238,0,1,0,0,0,0
"48",39,36,-1.14930236547859,-0.626590477007587,-0.979053612491952,1.3113173742646,0,1,0,1,1,0
"49",39,35,-1.67657702615597,-0.622641836737852,-0.979053612491952,0.50287537095537,0,1,0,0,1,0
"50",39,34,-1.91929075884874,-0.429158463520872,-0.979053612491952,0.380202276009422,0,1,0,0,1,0
"51",38,34,-1.42549385440484,-0.863508893191645,-0.979053612491952,1.19343296816267,0,1,0,1,1,0
"52",39,34,0.725451983596565,-0.251469651382828,0.618109164844166,0.935368267448416,1,1,0,1,0,1
"53",38,34,0.265132835386148,-1.7677475149608,-0.296312656326448,1.12497036420217,0,0,1,0,0,1
"54",34,25,1.01001291158119,-1.7677475149608,0.48074086435441,1.85605247997128,1,1,1,0,0,1
"55",35,25,-1.38364665911298,-0.350185658126185,-0.979053612491952,0.588924596191469,0,1,0,0,1,0
"56",30,24,0.633388153954481,-0.192240047336813,-0.507490789915178,0.274104925659574,1,1,0,1,1,0
"57",38,28,-1.58451319651389,0.97655747250454,-0.979053612491952,0.398924056110875,0,1,0,1,1,0
"58",39,28,1.10207674122327,-0.824022490494302,0.247009726207661,0.737790235303051,0,1,0,1,0,0
"59",32,28,-1.7853797339148,-0.705563282402273,-0.979053612491952,1.0084897269867,0,1,0,1,1,0
"60",39,28,-1.18278012171207,-0.0342944365474413,-0.979053612491952,0.453170561000996,0,1,0,0,0,1
"61",31,28,0.365566104086603,-0.227777809764422,0.0173791343441884,0.671488097179187,0,0,0,0,1,0
"62",39,23,0.976535155347701,-0.622641836737852,-0.882690774834959,0.697398151379178,1,1,0,1,1,0
"63",26,23,1.05186010687304,-0.824022490494302,-0.564898437881046,0.204684334900795,0,1,0,1,0,1
"64",39,35,1.01001291158119,-1.7677475149608,0.609908072277613,0.0249323176450246,0,0,1,0,0,1
"65",38,35,0.717082544538193,-0.587104074310244,0.919499316664974,1.24141237169377,1,1,0,1,1,0
"66",38,25,-1.48407992781343,-0.468644866218215,-0.979053612491952,0.146386330510019,0,1,0,1,1,0
"67",38,24,1.07696842404816,-0.824022490494302,-0.450083141949309,-0.16220892978286,1,0,0,1,0,0
"68",33,23,-0.170077995649155,0.992352033583477,-0.669462368104591,-1.12175437316935,0,0,0,0,0,0
"69",39,23,0.440891055611943,-0.429158463520872,-0.31681538774283,1.40340055114916,0,1,0,1,1,0
"70",38,28,-1.88581300261525,-0.192240047336813,-0.979053612491952,0.650947048751835,0,1,0,1,1,0
"71",38,28,-0.923327510902564,-0.824022490494302,-0.979053612491952,0.31112474249216,0,1,0,1,1,0
"72",38,28,-1.88581300261525,-0.192240047336813,-0.979053612491952,0.650947048751835,0,1,0,1,1,0
"73",40,28,-1.18278012171207,-0.192240047336813,-0.979053612491952,0.59405621522529,0,1,0,1,1,0
"74",39,28,0.474368811845428,-0.824022490494302,1.06301843657964,1.29584157148858,0,1,0,0,0,1
"75",35,23,0.13959124951058,-0.172496845988142,3.88829482575701,0.600214760520441,1,1,0,1,1,0
"76",34,23,1.14392393651513,-0.824022490494302,0.206004263374898,0.415044402076229,1,0,0,0,0,1
"77",26,23,0.825885252297019,-0.429158463520872,0.0891386943015237,0.69562969972217,1,1,0,0,0,1
"78",39,23,1.0351212287563,-0.350185658126185,0.718572548784435,0.173357093480353,1,1,0,1,1,0
"79",39,22,-1.2915828294709,-0.824022490494302,-0.979053612491952,0.694047583375597,0,1,0,1,1,0
"80",39,22,-1.3501689028795,-0.824022490494302,-0.979053612491952,0.160799673996726,0,1,0,1,1,0
"81",45,22,-1.46734104969669,-0.287007413810437,-0.979053612491952,0.794563249217075,0,1,0,1,1,0
"82",39,22,-1.79374917297317,-0.488388067566886,-0.979053612491952,0.944681553534702,0,1,0,1,1,0
"83",23,22,0.83425469135539,-0.0342944365474413,0.0624851434602277,-0.490256421081809,0,0,0,0,0,0
"84",39,26,-1.45060217157995,-0.192240047336813,-0.979053612491952,0.341407271438895,0,1,0,1,1,0
"85",29,26,-1.39201609817135,-0.188291407067079,-0.979053612491952,0.556554390232316,0,1,0,0,1,0
"86",40,25,0.0391579808101254,0.202623979636617,0.749326645909008,1.09653714386303,1,1,0,0,1,0
"87",39,26,0.96816571628933,-1.7677475149608,2.8447057966632,0.962787938451629,0,1,1,0,0,1
"88",28,17,0.943057399114216,-0.824022490494302,4.35165655576724,1.33197105355196,0,1,0,1,1,0
"89",35,18,0.114482932335466,0.064421570195916,-0.058480971896423,1.072712707757,1,1,0,1,1,0
"90",40,17,-1.29995226852927,-0.429158463520872,-0.979053612491952,0.730491333425781,0,1,0,1,1,0
"91",39,17,-1.68494646521434,0.182880778287945,-0.979053612491952,-0.0533811712424248,0,1,0,0,1,0
"92",27,21,0.599910397720996,-0.824022490494302,1.86877578124344,0.562830154524827,0,1,0,0,1,0
"93",39,22,-1.73516309956457,-0.290956054080171,-0.979053612491952,1.09070343795208,0,1,0,0,1,0
"94",22,21,0.306980030678004,0.163137576939274,-0.780177117753051,-0.83491706578419,0,0,0,0,0,0
"95",23,21,-0.103122483182185,-0.15275364463947,-0.823232853727452,0.82017922495033,1,1,0,1,1,0
"96",39,22,0.407413299378459,-0.622641836737852,1.13477799653698,0.405906761133099,0,0,0,0,0,1
"97",39,22,-1.71005478238946,-0.745049685099616,-0.979053612491952,1.67941987261465,0,1,0,1,0,1
"98",40,22,-1.44223273252158,-0.192240047336813,-0.979053612491952,0.7420282502767,0,1,0,1,1,0
"99",29,26,-1.39201609817135,-0.188291407067079,-0.979053612491952,0.893504520182601,0,1,0,1,1,0
"100",39,26,0.717082544538193,-0.429158463520872,-0.614104993280361,0.680340362569694,1,1,0,1,1,0
"101",38,26,-0.663874900093056,-0.0342944365474413,-0.979053612491952,0.834364903304707,0,1,0,1,1,0
"102",30,25,0.742190861713307,-1.7677475149608,-0.0420787867633179,1.74128545555251,0,1,1,0,0,1
"103",39,25,0.474368811845428,-1.7677475149608,0.792382381883409,1.03102971479961,0,1,1,0,0,0
"104",36,18,-1.98624627131571,-0.642385038086524,-0.979053612491952,1.06206439036307,0,1,0,1,1,0
"105",38,17,1.10207674122327,-0.527874470264229,-0.103586981012462,-0.0535689622930557,1,1,0,1,1,0
"106",39,17,0.758929739830049,-0.626590477007587,0.83543811785781,0.388758537441368,0,1,0,1,1,0
"107",21,17,1.06022954593141,-0.231726450034157,-0.888841594259873,-0.321545393727465,0,1,0,1,0,0
"108",39,17,0.474368811845428,-0.666076879704929,-0.249156374068771,0.0601206139768581,0,0,0,0,0,1
"109",39,21,0.675235349246337,-0.705563282402273,-0.630507178413466,-1.08663279986636,1,0,0,0,0,0
"110",39,21,0.390674421261716,-0.824022490494302,-0.257357466635323,-0.688210199450893,0,0,0,0,1,0
"111",39,21,-1.3501689028795,0.143394375590602,-0.979053612491952,1.38858469312199,0,1,0,1,1,0
"112",37,21,-0.303989020583094,-0.622641836737852,-0.823232853727452,1.47527994395907,1,1,1,0,0,1
"113",27,21,-0.270511264349609,0.854149624142776,-0.226603369510751,-0.925407852920308,1,0,0,0,0,0
"114",38,21,1.17740169274861,-0.824022490494302,0.201903717091622,1.41398201913684,0,1,0,1,0,1
"115",39,21,0.959796277230959,-0.547617671612901,0.322869832448273,1.10941567207178,1,1,0,1,1,0
"116",28,13,0.566432641487512,-0.429158463520872,0.722673095067712,0.395374096767839,0,1,0,1,0,1
"117",39,13,-0.00268921448173068,1.6280831170107,0.855940849274191,-1.50736329385239,1,0,0,0,1,0
"118",32,12,0.0810051761019814,0.163137576939274,0.0993900600097144,0.346998717616157,1,1,0,1,0,1
"119",13,12,0.407413299378459,-0.824022490494302,-0.712518104078993,1.07690407684082,1,1,0,1,1,0
"120",27,12,1.18577113180698,0.63697440930739,-0.31681538774283,-1.37496539507426,0,0,0,0,1,0
