"loan.term","count","cens","repay","def","cens.per","repay.per","def.per"
12,1,0,1,0,0,1,0
13,10,0,10,0,0,1,0
14,7,0,7,0,0,1,0
15,1,0,1,0,0,1,0
19,3,0,3,0,0,1,0
20,4,0,4,0,0,1,0
21,1,0,1,0,0,1,0
23,2,0,2,0,0,1,0
25,151,0,151,0,0,1,0
26,115,0,115,0,0,1,0
28,1,0,1,0,0,1,0
29,3,0,3,0,0,1,0
30,1,0,1,0,0,1,0
31,15,0,15,0,0,1,0
32,13,0,13,0,0,1,0
33,1,0,1,0,0,1,0
35,1,0,1,0,0,1,0
36,7,0,7,0,0,1,0
37,1569,4,1562,3,0.00254939451880178,0.995538559592097,0.00191204588910134
38,1229,2,1225,2,0.0016273393002441,0.996745321399512,0.0016273393002441
39,5,0,5,0,0,1,0
40,8,1,7,0,0.125,0.875,0
41,9,0,9,0,0,1,0
42,2,0,2,0,0,1,0
43,126,3,121,2,0.0238095238095238,0.96031746031746,0.0158730158730159
44,84,2,81,1,0.0238095238095238,0.964285714285714,0.0119047619047619
45,3,0,3,0,0,1,0
47,3,0,3,0,0,1,0
48,2,0,2,0,0,1,0
49,2531,52,2448,31,0.0205452390359542,0.967206637692612,0.0122481232714342
50,1880,48,1806,26,0.025531914893617,0.96063829787234,0.0138297872340426
51,2,0,2,0,0,1,0
52,11,2,9,0,0.181818181818182,0.818181818181818,0
53,9,0,9,0,0,1,0
54,4,0,4,0,0,1,0
55,202,26,166,10,0.128712871287129,0.821782178217822,0.0495049504950495
56,111,15,93,3,0.135135135135135,0.837837837837838,0.027027027027027
57,2,0,2,0,0,1,0
58,5,0,5,0,0,1,0
59,1,0,1,0,0,1,0
60,36,3,32,1,0.0833333333333333,0.888888888888889,0.0277777777777778
61,10287,1723,8225,339,0.167492952269855,0.799552833673569,0.0329542140565763
62,7454,1254,5969,231,0.168231821840622,0.800778105715052,0.0309900724443252
63,17,2,14,1,0.117647058823529,0.823529411764706,0.0588235294117647
64,864,198,631,35,0.229166666666667,0.730324074074074,0.0405092592592593
65,723,202,503,18,0.27939142461964,0.695712309820194,0.024896265560166
66,46,15,31,0,0.326086956521739,0.673913043478261,0
67,630,156,438,36,0.247619047619048,0.695238095238095,0.0571428571428571
68,442,113,297,32,0.255656108597285,0.671945701357466,0.0723981900452489
69,6,1,4,1,0.166666666666667,0.666666666666667,0.166666666666667
70,12,2,10,0,0.166666666666667,0.833333333333333,0
71,10,4,5,1,0.4,0.5,0.1
72,42,14,27,1,0.333333333333333,0.642857142857143,0.0238095238095238
73,17757,4720,11533,1504,0.26581066621614,0.649490341837022,0.0846989919468379
74,12652,3462,8073,1117,0.273632627252608,0.638080935820424,0.0882864369269681
75,34,8,24,2,0.235294117647059,0.705882352941177,0.0588235294117647
76,5204,1112,3653,439,0.213681783243659,0.70196003074558,0.0843581860107609
77,3440,781,2378,281,0.22703488372093,0.691279069767442,0.0816860465116279
78,6,1,4,1,0.166666666666667,0.666666666666667,0.166666666666667
